時期 (排序),教育,,
,師生比,,
,中學教育,小學教育,幼兒教育
,人數,人數,人數
2010/2011,14.8,14.8,16.7
2011/2012,14.4,14.1,16.7
2012/2013,13.1,13.7,16.6
2013/2014,12.2,13.7,16.0
2014/2015,11.4,14.1,15.9
2015/2016,10.7,13.9,16.2
2016/2017,10.1,13.5,14.7
2017/2018,9.8,13.5,14.5
2018/2019,9.7,13.5,14.1
2019/2020,9.7,13.4,13.8
2020/2021,10.0,13.4,13.4
2021/2022,10.5,13.4,13.2
2022/2023,10.6,13.4,12.8
2023/2024,10.8,13.2,12.2
2024/2025,10.9,12.7,11.7
2025/2026,10.9,12.6,11.2
,,,
,,,
